id,project_id,area_id
1890,48,48
1891,48,49
1892,48,46
1893,48,47
1894,48,28
1895,48,29
1896,48,59
1897,48,58
1898,48,55
1899,48,32
1900,48,31
1901,48,56
1902,48,51
1903,48,50
1904,48,53
1905,48,52
1906,48,33
1907,48,54
1908,48,57
9877,536,19
9878,536,43
9879,536,29
9880,536,61
1913,41,61
1914,41,29
1915,41,50
16822,130,43
16823,130,22
16824,130,31
13940,71,8
13941,71,18
13942,71,43
13943,71,28
3582,92,17
3583,92,36
3584,92,87
3605,79,33
3606,79,34
3607,79,59
3608,79,60
3609,79,47
3628,68,32
1938,38,33
1939,38,45
1940,38,23
3629,68,46
3639,37,30
3649,7,32
3650,7,33
3651,7,34
3652,7,35
3653,7,36
12265,583,49
14129,497,73
14130,497,31
1966,34,30
1967,34,15
1968,34,17
1969,34,33
1970,34,32
1971,34,44
1972,34,45
1973,34,36
58632,399,24
67928,712,22
40503,197,26
40504,197,35
1974,34,35
1975,34,34
1976,34,1
1977,34,7
1978,34,9
1979,34,41
1980,34,87
1984,370,82
1985,370,83
1986,370,84
1987,370,85
15018,330,43
15019,330,22
15020,330,31
12266,583,35
12267,583,45
58633,399,28
58634,399,29
12268,583,15
2008,25,26
2009,25,45
2010,25,35
44613,681,22
44614,681,31
14131,497,84
14132,497,22
14133,497,52
58635,399,30
67929,712,25
67930,712,27
53539,503,32
53540,503,51
53541,503,46
53542,503,7
56577,582,83
56578,582,84
67931,712,30
2030,23,33
2031,23,35
2032,23,34
67932,712,41
53288,626,38
53289,626,41
56579,582,85
67933,712,43
58636,399,31
52840,759,34
2038,20,35
2039,20,49
53290,626,42
58547,821,80
58548,821,34
55286,711,82
55287,711,83
14758,308,43
14759,308,22
2049,2,35
2050,15,35
2051,14,35
2052,13,33
2053,13,35
2054,12,33
2055,11,33
2056,11,35
2057,10,33
2058,10,34
2059,9,32
2060,9,28
2061,9,36
14760,308,31
55288,711,84
55289,711,85
55290,711,86
54872,794,45
53291,626,43
53292,626,44
53293,626,45
54873,794,81
5193,80,43
5194,80,22
5195,80,31
9832,565,2
9833,565,43
9834,565,52
9835,565,22
9836,565,31
16318,121,34
16319,121,5
16320,121,42
2072,5,33
2073,5,34
2074,4,82
15873,106,74
3501,406,31
16321,121,43
16322,121,23
